ktname,ktnr,mean,medi,gini
"ZH","1","47890","36067","0.481"
"BE","2","36324","31133","0.439"
"LU","3","40393","33267","0.426"
"UR","4","37016","32733","0.378"
"SZ","5","61388","35600","0.581"
"OW","6","61379","33083","0.622"
"NW","7","52120","36067","0.497"
"GL","8","36841","31800","0.402"
"ZG","9","68933","41267","0.569"
"FR","10","38648","32267","0.441"
"SO","11","38635","33267","0.421"
"BS","12","47615","32733","0.523"
"BL","13","47063","37600","0.447"
"SH","14","39070","32800","0.419"
"AR","15","40318","31933","0.452"
"AI","16","42706","32667","0.46"
"SG","17","38261","32133","0.416"
"GR","18","37348","30200","0.458"
"AG","19","42308","36133","0.395"
"TG","20","40087","33400","0.418"
"TI","21","39826","28467","0.522"
"VD","22","44676","32429","0.506"
"VS","23","31060","25800","0.506"
"NE","24","36643","29867","0.468"
"GE","25","51752","32133","0.6"
"JU","26","32728","28733","0.435"
